Simulación,Secuencia,Peso [kg],V_Inicial_Z [m/s],V_Final_Z [m/s],KE_Inicial [J],KE_Final [J],KE_Abs [J],%KE_Abs [%]
case_0120_TCCCTCTCCCCT,TCCCTCTCCCCT,0.728438,180.5,0.6431455016136169,814.50625,0.010340903406145775,814.4959090965939,99.99873040834173
case_0121_TCCCTCCTTCCC,TCCCTCCTTCCC,0.728438,180.5,45.427040100097656,814.50625,51.59039930639702,762.915850693603,93.66605237143398
case_0122_TCCCTCCTCTCC,TCCCTCCTCTCC,0.728438,180.5,0.4302472472190857,814.50625,0.004627817343490027,814.5016221826565,99.99943182543493
case_0123_TCCCTCCTCCTC,TCCCTCCTCCTC,0.728438,180.5,0.4618750214576721,814.50625,0.005333213386163127,814.5009167866139,99.99934522130602
case_0124_TCCCTCCTCCCT,TCCCTCCTCCCT,0.728438,180.5,8.817198753356934,814.50625,1.9435748464049767,812.562675153595,99.76137999599082
case_0125_TCCCTCCCTTCC,TCCCTCCCTTCC,0.728438,180.5,-2.103457450866699,814.50625,0.11061333119016581,814.3956366688099,99.98641958472508
case_0126_TCCCTCCCTCTC,TCCCTCCCTCTC,0.728438,180.5,10.30381965637207,814.50625,2.6542174877759863,811.852032512224,99.67413172240532
case_0127_TCCCTCCCTCCT,TCCCTCCCTCCT,0.728438,180.5,0.5010400414466858,814.50625,0.006276028078322416,814.4999739719217,99.99922946839533
case_0128_TCCCTCCCCTTC,TCCCTCCCCTTC,0.728438,180.5,41.10403060913086,814.50625,42.238533307909165,772.2677166920909,94.81421618214604
case_0129_TCCCTCCCCTCT,TCCCTCCCCTCT,0.728438,180.5,18.60408973693848,814.50625,8.652803873501492,805.8534461264985,98.93766267926102
case_0130_TCCCTCCCCCTT,TCCCTCCCCCTT,0.728438,180.5,7.855326652526855,814.50625,1.542653920447469,812.9635960795525,99.81060256806532
case_0131_TCCCCTTTCCCC,TCCCCTTTCCCC,0.728438,180.5,-8.566011428833008,814.50625,1.8344137949724428,812.6718362050276,99.77478210941015
case_0132_TCCCCTTCTCCC,TCCCCTTCTCCC,0.728438,180.5,27.78939247131348,814.50625,19.30625834811736,795.1999916518827,97.6296979491419
case_0133_TCCCCTTCCTCC,TCCCCTTCCTCC,0.728438,180.5,-0.3877238631248474,814.50625,0.0037582448509113856,814.5024917551491,99.99953858612491
case_0134_TCCCCTTCCCTC,TCCCCTTCCCTC,0.728438,180.5,0.0174351036548614,814.50625,7.599570986394036e-06,814.5062424004291,99.99999906697205
case_0135_TCCCCTTCCCCT,TCCCCTTCCCCT,0.728438,180.5,1.1409118175506592,814.50625,0.03254199438566872,814.4737080056143,99.99600469678585
case_0136_TCCCCTCTTCCC,TCCCCTCTTCCC,0.728438,180.5,-5.375843524932861,814.50625,0.7224923401140644,813.783757659886,99.91129689427011
case_0137_TCCCCTCTCTCC,TCCCCTCTCTCC,0.728438,180.5,-2.365784883499145,814.50625,0.1399234528748266,814.3663265471251,99.98282107069468
case_0138_TCCCCTCTCCTC,TCCCCTCTCCTC,0.728438,180.5,0.8042964935302734,814.50625,0.01617232123762733,814.4900776787624,99.99801446321159
case_0139_TCCCCTCTCCCT,TCCCCTCTCCCT,0.728438,180.5,-2.6398603916168213,814.50625,0.17422157218068293,814.3320284278193,99.97861016140996
case_0140_TCCCCTCCTTCC,TCCCCTCCTTCC,0.728438,180.5,-7.031716823577881,814.50625,1.2361260371747052,813.2701239628253,99.84823615077542
case_0141_TCCCCTCCTCTC,TCCCCTCCTCTC,0.728438,180.5,7.38991641998291,814.50625,1.365271617358326,813.1409783826417,99.83238046149329
case_0142_TCCCCTCCTCCT,TCCCCTCCTCCT,0.728438,180.5,-2.661763429641724,814.50625,0.17712461388445186,814.3291253861156,99.97825374404623
